,MergedDB EdgeId,Merge DB Source Node ID,Merge DB Target Node ID,Old Edge Id List,Source Label,Target Label
35,35,2329,15572,[35],soup base flavored with beef extract,flavoring or spice extract or concentrate added
36,36,2330,2278,[36],beef eye round (roasted),solid
37,37,2330,15560,[37],beef eye round (roasted),fully heat-treated
38,38,2330,7209,[38],beef eye round (roasted),round or leg (meat cut)
39,39,2330,14061,[39],beef eye round (roasted),skeletal meat part; without bone; without skin
40,40,2330,10226,[40],beef eye round (roasted),food baking process
41,41,5,15567,"[41, 2778]",guava (dried),whole; natural shape
42,42,5,15573,"[42, 2780]",guava (dried),fruit; peel present; core; pit or seed present
43,43,5,15568,[43],guava (dried),water removal process
44,44,5,15569,[44],guava (dried),preservation by dehydration or drying
45,45,2335,15566,[45],fruit sherbet (artificially sweetened),liquid; low viscosity; with no visible particles
46,46,2335,15562,[46],fruit sherbet (artificially sweetened),partially heat-treated
47,47,2335,15574,[47],fruit sherbet (artificially sweetened),milk or milk component
48,48,2335,15575,[48],fruit sherbet (artificially sweetened),food aeration process
49,49,2335,15576,[49],fruit sherbet (artificially sweetened),preservation by freezing
50,50,2335,15570,[50],fruit sherbet (artificially sweetened),nonnutritive sweetener added
51,51,2335,2317,[51],fruit sherbet (artificially sweetened),http://purl.obolibrary.org/obo/FOODON_03460147
52,52,2335,15577,[52],fruit sherbet (artificially sweetened),energy special claim or use
53,53,6,15567,[53],soursop,whole; natural shape
54,54,6,15565,[54],soursop,not heat-treated
55,55,6,15573,[55],soursop,fruit; peel present; core; pit or seed present
56,56,7,816,"[56, 4369]",papaya concentrate,semisolid with smooth consistency
57,57,7,15578,"[57, 4370]",papaya concentrate,fruit part
58,58,7,15568,"[58, 4371]",papaya concentrate,water removal process
59,59,7,15570,[59],papaya concentrate,nonnutritive sweetener added
60,60,7,15577,[60],papaya concentrate,energy special claim or use
61,61,8,15579,[61],cuttlefish,sliced
62,62,8,13548,[62],cuttlefish,skeletal meat part
63,63,8,15568,[63],cuttlefish,water removal process
64,64,8,15569,[64],cuttlefish,preservation by dehydration or drying
65,65,8,15580,[65],cuttlefish,flavoring; spice or herb added
66,66,2338,11347,[66],green tea (powdered),finely ground
67,67,2338,15562,[67],green tea (powdered),partially heat-treated
68,68,2338,15581,[68],green tea (powdered),leaf
69,69,2338,15568,[69],green tea (powdered),water removal process
70,70,2338,15569,[70],green tea (powdered),preservation by dehydration or drying
71,71,2339,15582,[71],ziao-z pastry (case),whole; shape achieved by forming
72,72,2339,13737,[72],ziao-z pastry (case),part of plant
73,73,11,13651,[73],cloudberry (canned),can; bottle or jar
74,74,11,15567,"[74, 24132, 32952]",cloudberry (canned),whole; natural shape
75,75,11,15560,[75],cloudberry (canned),fully heat-treated
76,76,11,15573,"[76, 24134, 32954]",cloudberry (canned),fruit; peel present; core; pit or seed present
77,77,11,15583,[77],cloudberry (canned),sterilization by heating
78,78,12,3729,"[78, 19077]",bacon (raw),divided into pieces
79,79,12,15560,"[79, 19078, 31129]",bacon (raw),fully heat-treated
80,80,12,10086,"[80, 1361, 8443, 16729, 19079, 31130, 33131, 38888]",bacon (raw),belly meat
81,81,12,13625,"[81, 1362, 5013, 8444, 16730, 33132, 38889]",bacon (raw),skeletal meat part; without bone or shell
82,82,12,10226,[82],bacon (raw),food baking process
83,83,12,15584,"[83, 19082, 31132]",bacon (raw),smoked or smoke-flavored
84,84,12,8520,"[84, 1364, 5015, 8446, 16732, 19083, 31133, 33134, 38891]",bacon (raw),curing or aging process
85,85,2343,15585,[85],fat or oil; nonemulsified,liquid; high viscosity; with no visible particles
86,86,2343,2278,[86],fat or oil; nonemulsified,solid
87,87,2343,175,[87],fat or oil; nonemulsified,fat or oil
88,88,2344,15566,[88],fruit punch homemade prepared with fruit,liquid; low viscosity; with no visible particles
89,89,2344,3400,[89],fruit punch homemade prepared with fruit,home prepared
90,90,2344,15578,[90],fruit punch homemade prepared with fruit,fruit part
91,91,2344,15586,[91],fruit punch homemade prepared with fruit,sugar or sugar syrup added
92,92,2346,3729,[92],romano cheese (grated),divided into pieces
93,93,2346,15563,[93],romano cheese (grated),curd
94,94,2346,5330,[94],romano cheese (grated),lactic acid-other agent fermentation process
95,95,15,15580,"[95, 12557, 23038]",plant dessert food product,flavoring; spice or herb added
96,96,15,15587,[96],plant dessert food product,reduced energy food
97,97,16,15582,[97],gelatin fruit salad,whole; shape achieved by forming
98,98,16,2317,"[98, 17798, 32084]",gelatin fruit salad,http://purl.obolibrary.org/obo/FOODON_03460147
99,99,16,15588,"[99, 33526]",gelatin fruit salad,gelatin added
100,100,16,15589,[100],gelatin fruit salad,sweetener added
101,101,16,6132,[101],gelatin fruit salad,dietary claim or use
102,102,16,15577,"[102, 32085]",gelatin fruit salad,energy special claim or use
103,103,17,2278,[103],melon plant,solid
104,104,17,15578,"[104, 21751]",melon plant,fruit part
105,105,17,15568,[105],melon plant,water removal process
106,106,17,15569,[106],melon plant,preservation by dehydration or drying
107,107,2353,727,[107],orange marmalade with cointreau liqueur,semisolid with solid pieces
108,108,2353,15560,[108],orange marmalade with cointreau liqueur,fully heat-treated
109,109,2353,15573,[109],orange marmalade with cointreau liqueur,fruit; peel present; core; pit or seed present
110,110,2353,15590,[110],orange marmalade with cointreau liqueur,alcoholated
111,111,2353,15586,[111],orange marmalade with cointreau liqueur,sugar or sugar syrup added
112,112,2354,15582,[112],lime-flavored gelatin dessert,whole; shape achieved by forming
113,113,2354,1834,[113],lime-flavored gelatin dessert,sucrose
114,114,2354,15591,[114],lime-flavored gelatin dessert,acidified
115,115,2354,15592,[115],lime-flavored gelatin dessert,certified color added
116,116,2354,15588,[116],lime-flavored gelatin dessert,gelatin added
117,117,2354,15580,[117],lime-flavored gelatin dessert,flavoring; spice or herb added
118,118,20,15585,"[118, 33777]",maple syrup,liquid; high viscosity; with no visible particles
119,119,20,15560,"[119, 33778]",maple syrup,fully heat-treated
120,120,20,15593,"[120, 33779]",maple syrup,sugar syrup or syrup solids
121,121,20,15568,"[121, 33780]",maple syrup,water removal process
122,122,21,2278,[122],leatherjacket,solid
123,123,21,15565,[123],leatherjacket,not heat-treated
124,124,21,13548,[124],leatherjacket,skeletal meat part
125,125,2359,15585,[125],chocolate-flavored topping (sweetened with sorbitol),liquid; high viscosity; with no visible particles
126,126,2359,15560,[126],chocolate-flavored topping (sweetened with sorbitol),fully heat-treated
127,127,2359,15594,[127],chocolate-flavored topping (sweetened with sorbitol),glucitol
128,128,2359,7229,[128],chocolate-flavored topping (sweetened with sorbitol),microbial/enzymatic modification process
129,129,2359,8520,[129],chocolate-flavored topping (sweetened with sorbitol),curing or aging process
130,130,2359,15572,[130],chocolate-flavored topping (sweetened with sorbitol),flavoring or spice extract or concentrate added
131,131,2359,15595,[131],chocolate-flavored topping (sweetened with sorbitol),chocolate or cocoa added
132,132,22,15567,"[132, 1084, 1862]",potato plant,whole; natural shape
133,133,22,15562,"[133, 3473]",potato plant,partially heat-treated
134,134,22,9845,"[134, 3474]",potato plant,root; tuber or bulb
135,135,22,15576,"[135, 547, 3475]",potato plant,preservation by freezing
136,136,24,2278,[136],fish (salted),solid
137,137,24,13548,[137],fish (salted),skeletal meat part
138,138,24,15596,[138],fish (salted),salted
139,139,24,15597,[139],fish (salted),preservation by salting
140,140,26,15582,"[140, 846, 2622, 10098, 12001, 17691, 17785, 24890, 25586, 28073, 29445, 31770, 35688, 40037]",chocolate candy food product,whole; shape achieved by forming
141,141,26,15560,"[141, 847, 2623, 10099, 12002, 17692, 17786, 24891, 25587, 28074, 29446, 31771, 35689, 40038]",chocolate candy food product,fully heat-treated
142,142,26,1834,"[142, 848, 2624, 10100, 12003, 17693, 17787, 24892, 25588, 28075, 29447, 31772, 35690, 40039]",chocolate candy food product,sucrose
143,143,26,7229,"[143, 849, 2625, 10101, 12004, 17694, 17788, 25589, 28076, 29448, 31773, 40040]",chocolate candy food product,microbial/enzymatic modification process
144,144,26,15598,"[144, 850, 10103, 12006, 17695, 29449, 40041]",chocolate candy food product,food filling process
145,145,26,8520,"[145, 851, 2627, 10104, 12007, 17696, 17790, 25590, 28077, 29450, 31774, 40042]",chocolate candy food product,curing or aging process
146,146,26,15572,"[146, 853, 2628, 10105, 12008, 17698, 17791, 24893, 25591, 28078, 31775, 35691, 40043]",chocolate candy food product,flavoring or spice extract or concentrate added
147,147,26,15586,"[147, 40044]",chocolate candy food product,sugar or sugar syrup added
148,148,26,15595,"[148, 854, 2629, 10106, 12009, 17699, 17792, 24894, 25592, 28079, 29452, 31776, 35695, 40045]",chocolate candy food product,chocolate or cocoa added
149,149,2366,15567,[149],seed sprout,whole; natural shape
150,150,2366,15565,[150],seed sprout,not heat-treated
151,151,2366,15549,[151],seed sprout,germinated or sprouted seed
152,152,27,15567,"[152, 37487, 40145]",langostino (frozen),whole; natural shape
153,153,27,7449,"[153, 37489]",langostino (frozen),skeletal meat part; with bone or shell
154,154,27,15576,"[154, 40148]",langostino (frozen),preservation by freezing
155,155,2370,15599,[155],orange juice solids,semisolid
156,156,2370,15600,[156],orange juice solids,fruit; peel removed; core; pit or seed removed
157,157,28,816,"[157, 12430]",flan,semisolid with smooth consistency
158,158,28,15560,"[158, 12431]",flan,fully heat-treated
159,159,28,1528,"[159, 12432]",flan,29  milk (efg)
160,160,28,15570,[160],flan,nonnutritive sweetener added
161,161,28,2317,"[161, 12434]",flan,http://purl.obolibrary.org/obo/FOODON_03460147
162,162,28,15580,"[162, 12435]",flan,flavoring; spice or herb added
163,163,28,15577,[163],flan,energy special claim or use
164,164,29,15567,"[164, 4981, 8230, 13063, 13966, 15493, 20845, 22865, 25117, 26088, 27079, 27135, 27429, 27825, 29502, 30582, 33803, 35764, 38971]",scallop,whole; natural shape
165,165,29,15565,"[165, 4982, 13064, 13967, 25118, 26089, 27080, 33804, 35765]",scallop,not heat-treated
166,166,29,15601,"[166, 4983, 8231, 13065, 13968, 15495, 20846, 22866, 25119, 26090, 27081, 27136, 27431, 27827, 29503, 30583, 33805, 34408, 35766, 37074, 38973]",scallop,meat part of animal
167,167,2372,727,[167],diabetic preserves,semisolid with solid pieces
168,168,2372,15560,[168],diabetic preserves,fully heat-treated
169,169,2372,15578,[169],diabetic preserves,fruit part
170,170,2372,15594,[170],diabetic preserves,glucitol
171,171,2372,6132,[171],diabetic preserves,dietary claim or use
172,172,31,2278,"[172, 1891, 4839, 6003]",whiting (raw),solid
173,173,31,13548,"[173, 1892, 4840, 6005]",whiting (raw),skeletal meat part
174,174,31,15576,[174],whiting (raw),preservation by freezing
175,175,32,15566,"[175, 18975, 29781]",seltzer water,liquid; low viscosity; with no visible particles
176,176,32,15586,[176],seltzer water,sugar or sugar syrup added
177,177,32,15580,"[177, 29783]",seltzer water,flavoring; spice or herb added
178,178,33,960,[178],yellowfin tuna (canned),can
179,179,33,3729,[179],yellowfin tuna (canned),divided into pieces
180,180,33,15560,[180],yellowfin tuna (canned),fully heat-treated
181,181,33,13548,"[181, 7152, 9134, 21600]",yellowfin tuna (canned),skeletal meat part
182,182,33,6556,[182],yellowfin tuna (canned),seafood enamel
183,183,33,15583,[183],yellowfin tuna (canned),sterilization by heating
184,184,34,15567,"[184, 21294, 39610]",moreton bay chestnut black bean (raw),whole; natural shape
185,185,34,15565,[185],moreton bay chestnut black bean (raw),not heat-treated
186,186,34,15561,"[186, 21295, 39611]",moreton bay chestnut black bean (raw),seed; skin present; germ present
187,187,35,15602,[187],black fungus,whole animal or most parts used
188,188,2378,816,[188],kamu,semisolid with smooth consistency
189,189,2378,15561,[189],kamu,seed; skin present; germ present
190,190,2378,5330,[190],kamu,lactic acid-other agent fermentation process
191,191,2378,7229,[191],kamu,microbial/enzymatic modification process
192,192,2378,8520,[192],kamu,curing or aging process
193,193,2378,322,[193],kamu,preservation by fermentation
194,194,2378,15580,[194],kamu,flavoring; spice or herb added
195,195,37,809,[195],apple pie,whole; shape achieved by forming; thickness <0.3 cm.
196,196,37,15560,[196],apple pie,fully heat-treated
197,197,37,15600,[197],apple pie,fruit; peel removed; core; pit or seed removed
198,198,37,10226,[198],apple pie,food baking process
199,199,37,15598,[199],apple pie,food filling process
200,200,37,609,[200],apple pie,grain added
201,201,2380,809,[201],lemon cream sandwich wafer,whole; shape achieved by forming; thickness <0.3 cm.
202,202,2380,15560,[202],lemon cream sandwich wafer,fully heat-treated
203,203,2380,1834,[203],lemon cream sandwich wafer,sucrose
204,204,2380,10226,[204],lemon cream sandwich wafer,food baking process
205,205,2380,15598,[205],lemon cream sandwich wafer,food filling process
206,206,2380,15572,[206],lemon cream sandwich wafer,flavoring or spice extract or concentrate added
207,207,2380,609,[207],lemon cream sandwich wafer,grain added
208,208,2380,15603,[208],lemon cream sandwich wafer,fat or oil added
209,209,2382,621,[209],tapioca starch for syrup,obsolete: starch
210,210,2383,2278,[210],colorado perch (raw),solid
211,211,2383,15565,[211],colorado perch (raw),not heat-treated
212,212,2383,13548,[212],colorado perch (raw),skeletal meat part
213,213,40,15604,[213],rye bran,skin or bran (pericarp)
214,214,40,15568,[214],rye bran,water removal process
215,215,40,15569,[215],rye bran,preservation by dehydration or drying
216,216,2391,11347,[216],yellow cake mix,finely ground
217,217,2391,1493,[217],yellow cake mix,dry mix
218,218,2391,15569,[218],yellow cake mix,preservation by dehydration or drying
219,219,2391,15586,[219],yellow cake mix,sugar or sugar syrup added
220,220,2391,15605,[220],yellow cake mix,color added
221,221,2391,609,[221],yellow cake mix,grain added
222,222,2391,15603,[222],yellow cake mix,fat or oil added
223,223,41,2278,[223],naked sole,solid
224,224,41,15565,[224],naked sole,not heat-treated
225,225,41,13548,[225],naked sole,skeletal meat part
226,226,2392,727,[226],pineapple marmalade with pectin,semisolid with solid pieces
227,227,2392,15560,[227],pineapple marmalade with pectin,fully heat-treated
228,228,2392,15578,[228],pineapple marmalade with pectin,fruit part
229,229,2392,15606,[229],pineapple marmalade with pectin,pectin added
230,230,2392,15589,[230],pineapple marmalade with pectin,sweetener added
231,231,2393,15607,[231],lemonade-flavored drink,liquid; low viscosity
232,232,2393,15591,[232],lemonade-flavored drink,acidified
233,233,2393,15589,[233],lemonade-flavored drink,sweetener added
234,234,2393,15580,[234],lemonade-flavored drink,flavoring; spice or herb added
235,235,45,960,[235],pasta,can
236,236,45,809,"[236, 5134, 8123, 14644, 18626, 36938]",pasta,whole; shape achieved by forming; thickness <0.3 cm.
237,237,45,15560,[237],pasta,fully heat-treated
238,238,45,2060,"[238, 5135, 8124, 14645, 18627, 36940]",pasta,seed (treated)
239,239,45,15583,[239],pasta,sterilization by heating
240,240,45,12796,"[240, 8125]",pasta,packed in edible medium
241,241,47,2278,"[241, 24249, 38766]",mullet,solid
242,242,47,15565,[242],mullet,not heat-treated
243,243,47,13548,"[243, 24250, 38768]",mullet,skeletal meat part
244,244,2397,2278,[244],amanatto (dry candied bean),solid
245,245,2397,15561,[245],amanatto (dry candied bean),seed; skin present; germ present
246,246,2397,15568,[246],amanatto (dry candied bean),water removal process
247,247,2397,15608,[247],amanatto (dry candied bean),candying process
248,248,2397,15569,[248],amanatto (dry candied bean),preservation by dehydration or drying
249,249,49,15566,"[249, 32382]",ginger ale,liquid; low viscosity; with no visible particles
250,250,49,15609,"[250, 32383]",ginger ale,artificially carbonated
251,251,49,15586,[251],ginger ale,sugar or sugar syrup added
252,252,49,15580,[252],ginger ale,flavoring; spice or herb added
253,253,2400,2278,[253],cayenne pepper (dried),solid
254,254,2400,8972,[254],cayenne pepper (dried),pod or seed
255,255,2400,15568,[255],cayenne pepper (dried),water removal process
256,256,2400,15569,[256],cayenne pepper (dried),preservation by dehydration or drying
257,257,2401,15567,[257],strawberry (preserved in airtight container),whole; natural shape
258,258,2401,15573,[258],strawberry (preserved in airtight container),fruit; peel present; core; pit or seed present
259,259,2403,175,[259],cod liver oil emulsion (food product),fat or oil
260,260,2403,15610,[260],cod liver oil emulsion (food product),food homogenization or emulsification process
261,261,2404,15599,[261],sandwich spread; fat-based; energy reduced,semisolid
262,262,2404,175,[262],sandwich spread; fat-based; energy reduced,fat or oil
263,263,2404,15587,[263],sandwich spread; fat-based; energy reduced,reduced energy food
264,264,51,15560,"[264, 8986]",fish (cooked),fully heat-treated
265,265,51,13548,"[265, 419, 490, 1531]",fish (cooked),skeletal meat part
266,266,2405,8337,[266],oyster-flavored sauce,food (liquid)
267,267,2405,15560,[267],oyster-flavored sauce,fully heat-treated
268,268,2405,13703,[268],oyster-flavored sauce,preservation by adding chemicals
269,269,2405,15571,[269],oyster-flavored sauce,flavoring or taste ingredient added
270,270,52,15611,[270],color additive (us cfr),extract; concentrate or isolate of plant or animal
271,271,2407,15560,[271],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),fully heat-treated
272,272,2407,13,[272],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),obsolete: beverage base
273,273,2407,15568,[273],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),water removal process
274,274,2407,15570,[274],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),nonnutritive sweetener added
275,275,2407,15605,[275],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),color added
276,276,2407,2317,[276],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),http://purl.obolibrary.org/obo/FOODON_03460147
277,277,2407,15612,[277],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),nutrient or dietary substance added
278,278,2407,11726,[278],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),artificial fruit flavoring added
279,279,2407,15577,[279],grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),energy special claim or use
280,280,2411,15585,[280],condensed cow skim milk,liquid; high viscosity; with no visible particles
281,281,2411,15562,[281],condensed cow skim milk,partially heat-treated
282,282,2411,1528,[282],condensed cow skim milk,29  milk (efg)
283,283,2411,2122,[283],condensed cow skim milk,water removal to reconstitution ratio 2 plus 1
284,284,2411,15564,[284],condensed cow skim milk,pasteurization by heating
285,285,2414,15582,[285],whipped cream cake (frozen),whole; shape achieved by forming
286,286,2414,15560,[286],whipped cream cake (frozen),fully heat-treated
287,287,2414,10226,[287],whipped cream cake (frozen),food baking process
288,288,2414,15576,[288],whipped cream cake (frozen),preservation by freezing
289,289,2414,15586,[289],whipped cream cake (frozen),sugar or sugar syrup added
290,290,2414,609,[290],whipped cream cake (frozen),grain added
291,291,2414,15613,[291],whipped cream cake (frozen),dairy product added
292,292,56,816,"[292, 3582, 3688, 5616, 7124, 10083, 13365, 18978, 19981, 30759]",margarine (us cfr),semisolid with smooth consistency
293,293,56,15562,"[293, 430, 3689, 5617, 7125, 9828, 10084, 11891, 13366, 18979, 19982, 30760]",margarine (us cfr),partially heat-treated
294,294,56,175,"[294, 431, 3583, 3690, 5618, 7126, 9829, 10085, 11892, 13367, 18980, 19983, 30761]",margarine (us cfr),fat or oil
295,295,56,15564,"[295, 432, 3691, 5619, 9831, 10086, 11893, 13369, 18981, 30762]",margarine (us cfr),pasteurization by heating
296,296,56,5579,"[296, 434, 3692, 7127, 10088, 11894, 13370, 19987, 30763]",margarine (us cfr),vitamin a or carotenes added
297,297,56,15614,[297],margarine (us cfr),no salt added claim or use
298,298,56,15615,[298],margarine (us cfr),salt free food
299,299,57,15566,"[299, 1503, 2363, 4314, 6561, 11263, 11444, 17054, 17607, 21671, 36265, 37833]",cream (raw),liquid; low viscosity; with no visible particles
300,300,57,15560,"[300, 4315, 10642, 24011, 25448]",cream (raw),fully heat-treated
301,301,57,57,"[301, 561, 1505, 2365, 4316, 6563, 7420, 10643, 11265, 11446, 16651, 17056, 17609, 21152, 21673, 21861, 24012, 25449, 32594, 34424, 36267, 37835]",cream (raw),cream (raw)
302,302,57,15583,"[302, 10644]",cream (raw),sterilization by heating
303,303,2420,13651,[303],pickled vegetable relish (canned),can; bottle or jar
304,304,2420,15560,[304],pickled vegetable relish (canned),fully heat-treated
305,305,2420,13737,[305],pickled vegetable relish (canned),part of plant
306,306,2420,15616,[306],pickled vegetable relish (canned),pickling process
307,307,2420,15591,[307],pickled vegetable relish (canned),acidified
308,308,2420,8520,[308],pickled vegetable relish (canned),curing or aging process
309,309,2420,15583,[309],pickled vegetable relish (canned),sterilization by heating
310,310,2420,15580,[310],pickled vegetable relish (canned),flavoring; spice or herb added
311,311,2421,15566,[311],scuppernong grape juice (food product),liquid; low viscosity; with no visible particles
312,312,2421,15562,[312],scuppernong grape juice (food product),partially heat-treated
313,313,2421,15573,[313],scuppernong grape juice (food product),fruit; peel present; core; pit or seed present
314,314,2421,15564,[314],scuppernong grape juice (food product),pasteurization by heating
315,315,58,2278,"[315, 2367, 2418, 3211, 5118, 6178, 14707, 19767, 21532, 28766, 30251]",cheddar cheese,solid
316,316,58,15563,"[316, 2368, 3213, 5119, 6179, 14708, 19347, 19768, 21533, 28767, 30252]",cheddar cheese,curd
317,317,58,8520,"[317, 2421, 3214, 5120, 6182, 19348, 30253]",cheddar cheese,curing or aging process
318,318,58,7286,"[318, 2422, 3215, 5121, 19349, 19769, 30254]",cheddar cheese,interior bacteria curing process
319,319,59,2278,"[319, 10791, 38797]",deer meat (raw),solid
320,320,59,13548,"[320, 10793]",deer meat (raw),skeletal meat part
321,321,59,15584,[321],deer meat (raw),smoked or smoke-flavored
322,322,59,15617,[322],deer meat (raw),preservation by smoking
323,323,2423,15618,[323],weaning food,infant or toddler consumer
324,324,2424,15566,[324],orange-flavored drink,liquid; low viscosity; with no visible particles
325,325,2424,1834,[325],orange-flavored drink,sucrose
326,326,2424,15571,[326],orange-flavored drink,flavoring or taste ingredient added
327,327,2428,2278,[327],yellowstreaked snapper (raw),solid
328,328,2428,15565,[328],yellowstreaked snapper (raw),not heat-treated
329,329,2428,13548,[329],yellowstreaked snapper (raw),skeletal meat part
330,330,2429,3729,[330],lemon peel infusion (dried),divided into pieces
331,331,2429,15611,[331],lemon peel infusion (dried),extract; concentrate or isolate of plant or animal
332,332,2429,15568,[332],lemon peel infusion (dried),water removal process
333,333,2429,15569,[333],lemon peel infusion (dried),preservation by dehydration or drying
334,334,62,727,"[334, 19651]",fruit pie filling,semisolid with solid pieces
335,335,62,15578,"[335, 19652]",fruit pie filling,fruit part
336,336,62,15586,[336],fruit pie filling,sugar or sugar syrup added
337,337,62,15580,[337],fruit pie filling,flavoring; spice or herb added
338,338,64,15582,[338],ham (deviled),whole; shape achieved by forming
339,339,64,7209,"[339, 8066, 12224, 33089, 38825]",ham (deviled),round or leg (meat cut)
340,340,64,14061,"[340, 6174, 7970, 8067, 9016, 38826]",ham (deviled),skeletal meat part; without bone; without skin
341,341,64,8520,"[341, 6176, 8068, 25241, 33092]",ham (deviled),curing or aging process
342,342,64,15619,[342],ham (deviled),spice or herb added
343,343,2434,11347,[343],filling mix; dry,finely ground
344,344,2434,1493,[344],filling mix; dry,dry mix
345,345,2434,15568,[345],filling mix; dry,water removal process
346,346,2434,15569,[346],filling mix; dry,preservation by dehydration or drying
347,347,65,809,"[347, 5415, 28556, 29632, 30711, 31957, 33911, 35285]",doughnut (sugar),whole; shape achieved by forming; thickness <0.3 cm.
348,348,65,15560,"[348, 5416, 28557, 29633, 30712, 31958, 33912, 35286]",doughnut (sugar),fully heat-treated
349,349,65,15620,"[349, 5417, 28558, 29634, 30713, 31959, 33913, 35287]",doughnut (sugar),seed; skin removed; germ removed (endosperm)
350,350,65,15621,"[350, 5418, 28559, 29635, 31960, 33914, 35288]",doughnut (sugar),deep-frying
351,351,65,15622,"[351, 5419, 28560, 29637, 31961, 33915, 35289]",doughnut (sugar),fat or oil coated
352,352,65,15623,"[352, 28561, 29638, 30715, 31962, 33917, 35290]",doughnut (sugar),sucrose added
353,353,65,2317,"[353, 5422, 28562, 29639, 30716, 31963, 33918, 35291]",doughnut (sugar),http://purl.obolibrary.org/obo/FOODON_03460147
354,354,65,15603,"[354, 28563, 29640, 33919, 35292]",doughnut (sugar),fat or oil added
355,355,2435,15567,[355],kippered salmon,whole; natural shape
356,356,2435,11146,[356],kippered salmon,whole animal; skinned; defeathered or scaled; eviscerated
357,357,2435,15624,[357],kippered salmon,smoked by smoke infiltration
358,358,2435,15596,[358],kippered salmon,salted
359,359,2435,15617,[359],kippered salmon,preservation by smoking
360,360,2436,2278,[360],roast beef bottom round (cooked),solid
361,361,2436,15560,[361],roast beef bottom round (cooked),fully heat-treated
362,362,2436,7209,[362],roast beef bottom round (cooked),round or leg (meat cut)
363,363,2436,13548,[363],roast beef bottom round (cooked),skeletal meat part
364,364,2436,10226,[364],roast beef bottom round (cooked),food baking process
365,365,2438,15611,[365],ginseng extract with added ginseng root,extract; concentrate or isolate of plant or animal
366,366,2438,15580,[366],ginseng extract with added ginseng root,flavoring; spice or herb added
367,367,64,15567,"[367, 8942, 14857, 25239]",ham (deviled),whole; natural shape
368,368,64,15560,"[368, 3822, 6173, 7969, 8065, 8943, 9015, 12223, 19521, 33088, 37464, 38824]",ham (deviled),fully heat-treated
369,369,64,13625,"[369, 19522, 31540, 37465]",ham (deviled),skeletal meat part; without bone or shell
370,370,64,15624,[370],ham (deviled),smoked by smoke infiltration
371,371,64,15568,[371],ham (deviled),water removal process
372,372,64,15617,[372],ham (deviled),preservation by smoking
373,373,2442,816,[373],cheesecake batter,semisolid with smooth consistency
374,374,2442,15565,[374],cheesecake batter,not heat-treated
375,375,2442,15563,[375],cheesecake batter,curd
