,Merge DB Node ID,Merged Nodes Old ID list,label
58,58,"[161, 3201, 11491, 10280, 2633, 1194, 16143, 20336, 1171, 10516, 1621, 7864, 15353]",cheddar cheese
59,59,"[5681, 162, 20711, 20807]",deer meat (raw)
60,60,"[11909, 167]",collard (raw)
61,61,"[170, 14988]",sea kale plant
62,62,"[173, 10446]",fruit pie filling
63,63,"[176, 8406]",cod dried
64,64,"[3200, 1955, 13827, 4198, 13510, 19976, 4155, 20719, 4720, 178, 17651, 7924, 16821, 4758, 824, 10393, 187, 6429]",ham (deviled)
65,65,"[15232, 16389, 17062, 15271, 12967, 2797, 18836, 181, 15830, 18109]",doughnut (sugar)
66,66,"[13594, 6996, 191]",imitation grape jelly
67,67,"[193, 6940]",sherry
68,68,"[19848, 13073, 13847, 16152, 8602, 14106, 4895, 8103, 4264, 11560, 4144, 12080, 4028, 195, 4168, 842, 19146, 1359, 16592, 14932, 1514, 13163, 3187, 13431, 378, 17147]",poultry product
69,69,"[200, 8207]",vegetable or vegetable product (us cfr)
70,70,"[202, 17109]",kim chee
71,71,"[203, 13795]",07020 - watermelons (efsa foodex2)
72,72,"[7751, 5038, 206, 4849, 15826, 14195, 9556, 10420, 4374, 14520, 3196, 11006]",cookie (french)
73,73,"[2147, 5607, 20236, 208, 9745, 15313, 18864, 20083, 414]",sardine (scaled)
74,74,"[1762, 211]",16470 - figs (efsa foodex2)
75,75,"[15337, 19609, 213]",kegani crab
76,76,"[218, 7588]",hoary basil plant
77,77,"[10211, 9606, 15654, 16553, 20625, 12307, 11675, 219]",pastry food product
78,78,"[13825, 3559, 943, 221, 2239]",nutmeg seed
79,79,"[224, 480, 4514, 16996, 12251, 17105, 20213, 17566, 5721, 19546, 15707, 9182]",chocolate (for cooking)
80,80,"[226, 4517, 1552, 20948, 1339, 4190]",pear juice food product
81,81,"[10746, 230]",atlantic round herring
82,82,"[17765, 231, 11944, 12044, 21041]",pollock (raw)
83,83,"[232, 10852, 3404, 19741]",beverage tablet
84,84,"[233, 17004, 6737, 12405, 19416]",broccoli plant
85,85,"[234, 5179, 9540, 10135]",flounder (raw)
86,86,"[235, 13973]",green cardamom
87,87,"[237, 4950, 16623]",humectant (ec)
88,88,"[1926, 7816, 14861, 4367, 9617, 14866, 13461, 1430, 5398, 14485, 9374, 9758, 12703, 21409, 15908, 9894, 21164, 12464, 13750, 10553, 6970, 2875, 2492, 7226, 12094, 1086, 13119, 705, 5441, 9665, 17595, 10055, 10439, 18122, 4811, 14412, 16843, 11474, 20692, 16728, 18528, 1122, 10978, 14178, 20325, 487, 16749, 239, 21240, 8307, 1012, 7413, 18678, 19958, 12920, 3833, 17276]",beverage food product
89,89,"[242, 5378]",red drum
90,90,"[243, 19109]",salad burnet plant
91,91,"[1792, 10881, 773, 4485, 6149, 10765, 1810, 18070, 536, 3353, 20890, 3246, 14383, 10424, 7486, 14014, 7492, 325, 19655, 14157, 18765, 16852, 17108, 14041, 5217, 16483, 4581, 18663, 7403, 4460, 6253, 12399, 17392, 16880, 17270, 246, 20728, 1019, 18556, 8701]",fruit (freeze-dried)
92,92,"[248, 18793, 19810]",anise seed (whole; dried)
93,93,"[15577, 12755, 252, 17533]",chive plant
94,94,"[16128, 11457, 5475, 20071, 10858, 18091, 20533, 16887, 15804, 253]",horseradish (grated)
95,95,"[256, 10314, 5935]",plum plant
96,96,"[257, 9733, 2695, 17801, 13195, 2478, 15547, 3899, 17223, 4810, 6609, 2135, 19550, 6753, 11105, 19184, 7672, 7163, 636]",crabmeat
97,97,"[259, 13092, 10911]",crayfish (raw)
98,98,"[267, 805]",05490 - globe artichokes (efsa foodex2)
99,99,"[19017, 269, 14550]",wood apple (whole; raw)
100,100,"[21345, 1865, 10217, 15466, 272, 2042]",spice
101,101,"[20224, 273]",skilfish
102,102,"[275, 4615]",absinthe
103,103,"[276, 10909]",turtle egg (raw)
104,104,"[13731, 3908, 4229, 1228, 20592, 13713, 9875, 278, 11158, 857, 13306]",tilefish family
105,105,"[19136, 279]",naranjilla plant
106,106,"[290, 1965, 11764, 470, 8285, 2302]",cow milk (raw)
107,107,"[8697, 293]",soft wheat plant
108,108,"[8001, 389, 1702, 294, 7974, 17964, 17901, 6447, 12241, 1650, 18257, 20886, 4312, 20537, 7224, 20574]",pork food product
109,109,"[3829, 1894, 295]",amberjack
110,110,"[296, 20714]",rose plant
111,111,"[3000, 298, 19932]",pear tomato plant
112,112,"[6049, 301]",pepper leaves plant
113,113,"[6017, 10372, 2693, 7429, 16263, 7432, 21381, 4876, 1039, 21397, 9494, 16150, 5119, 11933, 16415, 14754, 303, 5423, 3378, 435, 21427, 16183, 14266, 19134, 5954, 17862, 1224, 3274, 20811, 19534, 1361, 722, 19793, 7255, 14684, 16095, 14176, 9698, 5606, 9575, 4328, 4970, 20202, 17642, 6258, 4472, 4861, 14206, 8703]",cheese (whipped)
114,114,"[304, 11155, 21232, 6415]",07760 - spirulina (efsa foodex2)
115,115,"[20582, 2249, 10058, 12331, 12715, 305, 9078, 8183, 10073, 6650]",pineapple juice (strained)
116,116,"[12421, 4618, 8428, 308, 21269]",08530 - parsley (efsa foodex2)
117,117,"[15744, 21633, 770, 2581, 18969, 2975, 4776, 20912, 311, 17732, 15436, 13012, 4188, 9183, 15200, 12003, 1638, 13415, 2923, 10476, 8563, 1271, 11005, 20862]",corn (dried)
118,118,"[13184, 5379, 14725, 11790, 6799, 10511, 20751, 5395, 21014, 18967, 14104, 16416, 8487, 2603, 18615, 313, 19386, 3515, 18878, 14155, 8013, 17230, 3918, 8664, 615, 6507, 17389, 6265]",hen egg food product
119,119,"[18867, 317]",14460 - lemons (efsa foodex2)
120,120,"[18470, 318]",buckwheat flour
121,121,"[14307, 8739, 15958, 319]",atlantic halibut
122,122,"[12162, 323, 17282, 19148, 10573, 13745, 14297]",mayonnaise
123,123,"[6496, 14630, 326, 20635, 13343]",wheat germ
124,124,"[3116, 16701, 327]",jewfish (raw)
125,125,"[13697, 13577, 8461, 5774, 20119, 14621, 3230, 8491, 11311, 1849, 9788, 15932, 17341, 13506, 328, 2383, 1240, 11996, 10973, 12266, 13164, 13424, 1397, 17660, 3071]",olive food product
126,126,"[8074, 17933, 19854, 10253, 2961, 9263, 10031, 15023, 12730, 15304, 331, 14797, 17870, 4178, 13662, 2917, 16755, 12148, 4085, 1528, 1403, 5240]",peach plant
127,127,"[12414, 334]",whey cheese
128,128,"[6089, 335, 4016, 21302, 21370]",cheese food processed
129,129,"[20869, 14568, 2959, 340, 5750]",07040 - sweet corn and similar- (efsa foodex2)
130,130,"[4449, 17986, 13459, 341]",brussels sprout plant
131,131,"[3608, 15131, 6901, 343]",fungus
132,132,"[2064, 345]",common bean plant
133,133,"[11130, 348, 18357]",barnacle (giant; raw)
134,134,"[15490, 10307, 5092, 588, 8059, 350]",liqueur food product
135,135,"[12808, 354]",stem or spear vegetable
136,136,"[2482, 356]",nata de coco
137,137,"[15201, 361, 1994, 12183, 11893, 14775, 19671]",ginseng plant
138,138,"[17891, 363, 14190, 16911, 17432, 9245, 10623]",wheat bread
139,139,"[5257, 364, 4846, 14877, 1214]",tangerine
140,140,"[366, 6927, 15803, 13915, 6590, 2431]",thyme (dried)
141,141,"[7749, 16325, 14791, 18248, 16681, 371, 1972, 9462, 20568, 10942]",vitamin b12
142,142,"[881, 14084, 1469, 375]",squid raw
143,143,"[18977, 17828, 14694, 12360, 15182, 3251, 18648, 14202, 379]",lobster meat (raw)
144,144,"[9478, 7689, 4504, 1696, 11680, 11936, 15144, 559, 2483, 9399, 9272, 17849, 17348, 4946, 3413, 17375, 21089, 6114, 20578, 11876, 12133, 8429, 9327, 15216, 20595, 380]",flour food product
145,145,"[17035, 381]",colorado snapper
146,146,"[20414, 382, 10079]",cheese blended pasteurized
147,147,"[21157, 383]",04130 - blumea leaves (efsa foodex2)
148,148,"[386, 396, 6284, 527, 3215, 16018, 8229, 9771, 14514, 1467, 12735, 12355, 16584, 14413, 17618, 14805, 12246, 1880, 20824, 7642, 1501, 609, 7270, 19689, 9453, 8174, 20335, 16879, 14330, 1278]",rice plant
149,149,"[7680, 7362, 387, 19430, 8520, 7435, 15632, 1489, 4306, 17247]",yogurt (nonfat)
150,150,"[394, 3982]",elderberry juice
151,151,"[6438, 7194, 398, 11751]",peanut meal
152,152,"[4681, 404, 11741]",sea bass
153,153,"[411, 21235]",duck egg food product
154,154,"[21362, 412]",yellow perch
155,155,"[7045, 8838, 18566, 8076, 10391, 13464, 413, 1054, 11174, 2471, 11815, 11442, 5178, 16193, 18374, 19785, 12874, 16716, 1997, 1616, 20437, 14168, 6105, 2527, 19049, 4076, 3181, 9712, 11509, 13814, 13052]",candy (us cfr)
156,156,"[417, 13291, 6215]",001  citrus fruits (fc) (ccpr)
157,157,"[9474, 8967, 17048, 419, 2470, 4139, 9133, 19375, 4916, 12990, 17358, 14799, 16734, 14687, 11623, 9963, 14700, 3309, 15339, 17017, 18298]",sausage food product
158,158,"[10425, 420]",yelloweye rockfish
159,159,"[425, 15291]",06770 - courgettes (efsa foodex2)
160,160,"[3880, 428, 19701, 1828]",grated cheese
161,161,"[433, 19626]",kale plant
162,162,"[437, 7406]",mullet roe (salted; air-dried)
163,163,"[9344, 1538, 8839, 18316, 2210, 20006, 4519, 12713, 2097, 438, 13240, 6073, 11837, 17985, 18633, 8398, 12366, 16465, 4691, 11990, 13783, 13916, 3552, 6893, 19825, 626, 4468]",tomato plant
164,164,"[14464, 8323, 6916, 8458, 13710, 19985, 2712, 14105, 2078, 15006, 9248, 17054, 13349, 13479, 21159, 20653, 687, 4529, 439, 8762, 2366, 12865, 3013, 15179, 13772, 981, 3926, 8789, 19428, 3431, 20584, 2154, 21359, 8951]",vegetable (raw)
165,165,"[13313, 5005, 19987, 2710, 15510, 2722, 803, 1572, 942, 5167, 5686, 14779, 443, 956, 19003, 1097, 970, 4690, 4819, 20703, 12652, 14961, 1782]",confectionery (us cfr)
166,166,"[19317, 445, 18103]",american lobster
167,167,"[5553, 447]",fennel plant
168,168,"[4737, 451, 20201, 4010, 15038, 18796, 7574, 4343, 14782, 10207]",peanut butter
169,169,"[9664, 4994, 8546, 456, 3567, 18512, 1525, 15352, 1337, 5437, 4796, 4829, 1183]",onion plant
170,170,"[17539, 2853, 15401, 1626, 474]",blueberry plant
171,171,"[475, 2523]",grape jelly
172,172,"[4800, 15330, 19106, 20898, 9573, 11370, 13675, 3635, 13686, 6518, 8921, 5949, 478]",soup (sweet)
173,173,"[481, 13765]",thickness of 1.5 cm to less than 7.0 cm
174,174,"[1585, 482, 6393]",beef liver (frozen)
175,175,"[484, 19646]",fat or oil
176,176,"[19130, 490]",red grouper
177,177,"[491, 2044]",malabar snapper
178,178,"[11170, 493]",cream of chicken soup
179,179,"[504, 19425]",sheep kidney (whole; raw)
180,180,"[505, 11773]",red wheat
181,181,"[8017, 506]",snapping turtle
182,182,"[14387, 510]",puntarelle plant
183,183,"[512, 11222]",chicken soup mix
184,184,"[514, 10902]",trappist cheese
185,185,"[520, 2939]",red kingklip
186,186,"[18016, 6849, 13732, 11463, 14440, 522, 10987, 13579, 14093, 8110, 11470, 15630, 7729, 19245, 6260, 15541, 21018]",cottage cheese (lowfat)
187,187,"[524, 5350, 19487]",imitation ice cream
188,188,"[525, 10669]",oregano; mexican (plant)
189,189,"[8892, 526]",17250 - american persimmons (efsa foodex2)
190,190,"[20930, 10180, 5670, 3366, 2921, 530, 21172, 14357, 2647, 16511]",gelatin dessert food product
191,191,"[9000, 20021, 531, 9643]",radish plant
192,192,"[16192, 8555, 533, 18190]",grapefruit (canned)
193,193,"[7650, 11875, 19044, 18478, 1268, 8629, 9621, 11669, 16278, 538, 6619, 1949]",popcorn plant
194,194,"[545, 11395]",grape vinegar
195,195,"[708, 548]",graham flour
196,196,"[17585, 555]",millet flour
197,197,"[19196, 556, 4013, 3847]",white pepper plant
198,198,"[18135, 6435, 564, 7759]",chub mackerel food product
199,199,"[568, 14230]",cocktail cherry
200,200,"[569, 20652]",honeydew melon (raw)
201,201,"[577, 20269]",jeotgal
202,202,"[8522, 581]",17310 - miscellaneous fruits with inedible peel; large (efsa foodex2)
203,203,"[8135, 583, 16814, 8495, 9042, 18803, 2328]",cream cheese
204,204,"[14253, 591]",silver catfish
205,205,"[592, 11190]",blue mussel
206,206,"[714, 594, 15009]",red algae
207,207,"[5856, 15747, 16649, 595, 7191, 5340]",shortening (food product)
208,208,"[600, 11009]",leek plant
209,209,"[14114, 4963, 16774, 20615, 15497, 13935, 2423, 601, 1276]",root vegetable product
210,210,"[10770, 604, 18549]",vermouth (extract of)
211,211,"[11544, 1863, 607]",provolone cheese
212,212,"[8515, 613]",lemon thyme plant
213,213,"[21379, 614]",citrus fruit (frozen)
214,214,"[616, 1991]",natal plum plant
215,215,"[6314, 618]",salt or sodium free claim or use
216,216,"[19892, 622, 12759]",pet food
217,217,"[9154, 15025, 627, 8694, 15743]",dough
218,218,"[9480, 12232, 874, 5674, 2927, 656, 11088, 13808, 11891, 19103, 629, 21200, 10841, 3839]",shellfish (raw)
219,219,"[21112, 631]",silver barb
220,220,"[8920, 633, 19852]",brook trout (raw)
221,221,"[640, 21053]",cherry salmon
222,222,"[17793, 643, 17283, 5829, 21287, 7242, 13867, 7449, 2363, 10365, 14527]",grapefruit juice
223,223,"[12682, 14771, 645]",obsolete: gluten
224,224,"[14345, 647]",palm kernel oil
225,225,"[648, 8082, 21751]",food container or wrapping
226,226,"[650, 15362]",red clover (raw)
227,227,"[20706, 9673, 653, 4401, 18130, 5588, 17749, 16151, 16732, 17021]",cockle (raw)
228,228,"[2474, 9057, 658, 14812]",apple wine
229,229,"[2860, 663]",daikon (whole; raw)
230,230,"[1480, 665, 18943]",common kaki plant
231,231,"[3746, 12869, 678, 15656, 17355, 17621, 7354, 8605, 863]",mollusc
232,232,"[19873, 2593, 11267, 15427, 679, 9198, 15279, 10479, 14897, 18992, 10996, 2261, 20534, 8729, 13083, 19709, 17086]",beef (raw)
233,233,"[6340, 8391, 9837, 686, 18382, 6932, 9720, 8345, 2847]",nonfat dry milk
234,234,"[11737, 690]",mozambique tilapia
235,235,"[3014, 694]",syrup
236,236,"[13182, 702]",acorn squash plant
237,237,"[704, 7271, 20200, 13449, 17807, 17564]",albacore (raw)
238,238,"[929, 707, 1412, 20732]",skipjack tuna
239,239,"[20512, 12549, 719]",cranberry sauce
240,240,"[18913, 14122, 3501, 720, 18716]",rabbit meat (frozen)
241,241,"[721, 21358]",gin
242,242,"[723, 10636]",european oyster
243,243,"[13256, 724]",cinnamon rose plant
244,244,"[6048, 1025, 1861, 1160, 19566, 725, 4245, 19870]",fruit juice (us cfr)
245,245,"[728, 13908]",liza
246,246,"[17994, 11059, 12020, 6454, 731, 13759]",soybean oil
247,247,"[736, 6756]",northern anchovy
248,248,"[1688, 13769, 739, 4238]",orange drink
249,249,"[14498, 4451, 9860, 8709, 743, 15783, 7761, 18772, 17748, 9910, 11958]",pineapple (crushed)
250,250,"[748, 6710]",rocoto capsicum plant
251,251,"[752, 11207, 13063]",chicory plant
252,252,"[755, 17071]",dog rose plant
253,253,"[4682, 757]",radicchio plant
254,254,"[20320, 13530, 20492, 11025, 762, 12508, 12382]",papaya plant
255,255,"[8261, 13894, 2410, 14635, 17483, 13565, 2171, 764, 14909]",chicken thigh
256,256,"[19658, 14180, 766]",pome fruit plant
257,257,"[11336, 9515, 772]",vegetable protein
258,258,"[15116, 774]",pie; sweetened (us cfr)
259,259,"[14699, 775]",tofu food product
260,260,"[11922, 779, 16622]",liver paste (canned)
261,261,"[7088, 781]",11040 - lupins (dry) (efsa foodex2)
262,262,"[6554, 787]",apple and grape drink
263,263,"[8825, 791]",red sandalwood plant
264,264,"[792, 10267, 11341]",custard
265,265,"[793, 7073]",bluefin searobin
266,266,"[4209, 794, 14978]",cereal-based product
267,267,"[7586, 797]",white cabbage plant
268,268,"[808, 21361]",sake food product
269,269,"[7216, 810]",dinner concentrate
270,270,"[11041, 11206, 812, 10093, 20757, 19359]",parsnip plant
271,271,"[13125, 2018, 5084, 813]",atlantic salmon
272,272,"[7014, 814]",dentex
273,273,"[1690, 822]",spotted stargazer
274,274,"[17501, 830]",12290 - castor beans (efsa foodex2)
275,275,"[4769, 7874, 3207, 2826, 11406, 14097, 15924, 831, 2334, 13496, 2011, 10653, 2238, 20479]",30370 - milk chocolate (efsa foodex2)
276,276,"[836, 10838]",milkshake
277,277,"[15155, 7412, 837, 17741]",beverage concentrate
278,278,"[841, 2364]",rum
279,279,"[18187, 843]",cream of potato soup
280,280,"[10502, 2632, 844, 6285, 13292, 15502, 15696, 3313, 13041, 3665, 13810, 17646, 21171, 15799, 17658, 15739, 2460]",ice cream (french-fried)
281,281,"[16084, 845]",turkey pie
282,282,"[20192, 4782, 846]",pink salmon
283,283,"[848, 17027]",chinese waterchestnut plant
284,284,"[21022, 11048, 849, 14557, 17918]",chicken breast (raw)
285,285,"[17090, 19299, 5288, 2508, 13805, 2288, 13232, 14969, 21328, 854, 8726, 12857, 8859]",goat milk (powdered; skimmed)
286,286,"[5376, 1153, 4996, 9222, 10379, 2318, 17150, 7696, 17430, 7833, 15515, 6050, 4516, 7087, 8239, 8751, 5557, 6329, 1209, 16826, 20793, 11453, 17605, 19786, 11982, 14543, 1104, 19279, 20432, 2518, 8024, 8666, 1755, 6238, 9439, 867, 6757, 14574, 11632, 2556, 10750]",clam (raw)
287,287,"[9561, 9803, 870]",butterfly mackerel
288,288,"[872, 14169]",11850 - sesame seeds (efsa foodex2)
289,289,"[18979, 1295, 879, 3252, 13974, 16895]",okra food product
290,290,"[884, 3367]",atlantic bonito
291,291,"[19356, 887]",chilean hake
292,292,"[8672, 8802, 21095, 3277, 8335, 12276, 4021, 16948, 889, 19167]",frankfurter
293,293,"[896, 16355, 19397, 15245, 18925, 4561, 13362, 19089, 19704, 15867]",mango plant
294,294,"[897, 3958]",danube crayfish
295,295,"[899, 8452]",27360 - quark (efsa foodex2)
296,296,"[906, 17005]",lotus plant
297,297,"[16037, 4525, 912, 5714, 9367, 18555, 11231]",sandwich spread
298,298,"[914, 2221, 18494]",rye cracker
299,299,"[17410, 13701, 12425, 924, 2205, 11424, 17188, 18213, 12205, 9779, 8649, 13386, 19199, 4564, 8411, 4830, 20958, 9570, 12521, 7402, 18676, 8054, 4479]",tuna (raw)
300,300,"[20697, 927]",steeped beverage product
301,301,"[6987, 932]",08210 - mosses and lichens (efsa foodex2)
302,302,"[3735, 935]",black crowberry plant
303,303,"[939, 18651]",chapati
304,304,"[6944, 11810, 8676, 10437, 10220, 941, 9261, 13747, 21396, 8023, 4539, 5085]",pea food product
305,305,"[19864, 945, 18421]",lupine bean food product
306,306,"[946, 3340]",yellowfin sole
307,307,"[947, 16335]",wensleydale cheese
308,308,"[15441, 953]",blue catfish
309,309,"[7200, 7305, 5739, 7212, 2413, 20845, 8047, 3569, 18833, 3670, 19384, 13432, 4889, 4858, 955, 10172, 19454]",salmon (raw)
310,310,"[18043, 958]",oxtail soup
311,311,"[19842, 10372, 21381, 16263, 12168, 19721, 3860, 21397, 9494, 16150, 16794, 11933, 16415, 7585, 14754, 21427, 2612, 16438, 5175, 16183, 14266, 19134, 962, 17862, 9927, 20811, 5838, 19534, 19793, 5843, 15317, 14684, 1886, 16095, 14176, 9698, 9575, 13288, 17642, 20202, 1523, 12277, 16504, 14206, 8703]",caerphilly cheese
312,312,"[8195, 963, 17607, 20812, 3021, 7155, 8057, 14651]",hen egg liquid
313,313,"[5125, 19466, 18189, 8339, 4372, 11803, 6558, 11935, 7456, 16811, 4012, 17195, 5551, 5552, 15223, 13619, 965, 7625, 8906, 19401, 21453, 18262, 9689, 17243, 6762, 20588, 11757, 20205, 13423, 8439]",bread food product
314,314,"[21182, 975]",chilean abalone
315,315,"[5410, 982]",comb honey
316,316,"[986, 9599]",mandarin orange (canned)
317,317,"[4736, 9473, 9090, 7683, 14208, 3591, 7563, 18191, 16528, 6802, 13077, 12311, 8984, 16923, 4125, 1566, 11038, 19110, 20139, 9772, 10029, 11820, 9775, 20268, 15281, 21169, 19123, 9527, 11449, 10427, 3776, 13248, 14276, 12231, 1481, 13516, 8909, 20052, 5590, 9432, 7257, 10203, 15324, 4446, 21214, 19552, 993, 14056, 17131, 10989, 5742, 15213, 19060, 16118, 9207]",meat (raw)
318,318,"[5061, 999]",queen scallop
319,319,"[14626, 12067, 3814, 1001, 1929, 10025, 12013, 1519, 3862, 6268, 19423]",beer (light)
320,320,"[10250, 1004]",cheese curd
321,321,"[2697, 1005]",brittle (us cfr)
322,322,"[21509, 1006]",preservation by fermentation
323,323,"[6626, 1007]",lemon spread (food product)
324,324,"[1008, 12632]",ivy gourd plant
325,325,"[1009, 13668, 17485, 16334]",carrot juice (canned)
326,326,"[8394, 3694, 11698, 1011, 8051, 9180]",mustard (prepared)
327,327,"[2115, 1013]",modified starch (ec)
328,328,"[1017, 7538, 16172]",cherry pie
329,329,"[1020, 6263]",03620 - lamb's lettuces (efsa foodex2)
330,330,"[1024, 12817]",cream dressing
331,331,"[1038, 3039]",butter and egg noodle
332,332,"[20264, 1041, 4458, 10633]",grape drink
333,333,"[1045, 2071]",arctic char
334,334,"[18722, 8519, 1047, 1374, 5503]",swiss cheese
335,335,"[1051, 20317]",pacific whiting
336,336,"[9440, 16346, 1055]",arrowroot food product
337,337,"[1056, 2979, 9188, 21422, 15259, 3069, 7135]",legume (canned)
338,338,"[12560, 1057]",rainbow smelt (dressed)
339,339,"[1058, 8066, 4165, 10472, 6031, 17103, 4119, 21306]",fungi (edible; fresh)
340,340,"[1066, 17587, 15644]",snakehead (raw)
341,341,"[17797, 8454, 1387, 1069, 7706]",yam food product
342,342,"[7337, 1074]",sea urchin
343,343,"[14466, 11845, 9227, 12754, 1075]",turbot (frozen)
344,344,"[13048, 1077]",dextrose
345,345,"[1078, 5231]",trevally
346,346,"[3075, 4843, 17388, 3611, 1083]",swordfish
347,347,"[15588, 1084, 4892]",pacific cod
348,348,"[10133, 8342, 7972, 5545, 15536, 8369, 8891, 6461, 1090, 10704, 17239, 13145, 18777, 2781, 20449, 9191, 4329, 9452, 9970, 9587, 18931, 16120, 20858]",mushroom food product
349,349,"[8675, 1093]",infant cereal
350,350,"[1105, 17484]",caramel hard
351,351,"[1108, 21252]",17850 - soursops (efsa foodex2)
352,352,"[10457, 13891, 1109]",sugar content > 50%
353,353,"[2145, 16782, 2286, 17744, 2611, 1114, 18075]",chicken (deboned)
354,354,"[13319, 11534, 12467, 7161, 1117]",lobster tail (frozen)
355,355,"[1120, 14438, 2215, 7912, 3692, 6487, 8574]",pigeon pea (canned)
356,356,"[1121, 19297, 7780, 7017, 14729, 2459, 7900]",corn meal
357,357,"[1123, 8811, 12908, 2894, 9845, 5717, 15518]",asparagus (whole; raw)
358,358,"[16513, 1124]",red cod
359,359,"[6787, 16390, 12681, 2967, 14617, 7834, 5413, 6701, 12977, 11840, 19776, 17604, 19269, 11719, 16585, 6730, 15946, 15961, 13792, 1129, 19692, 19949, 8181, 16510, 1535]",peanut food product
360,360,"[11788, 1132, 15069, 15527]",pacific salmon (canned)
361,361,"[7637, 1134, 11599]",06110 - soyabeans (with pods) (efsa foodex2)
362,362,"[5633, 16777, 11023, 1425, 3091, 6036, 5150, 15141, 18863, 4409, 15549, 14655, 17097, 16353, 7276, 10605, 1135, 5628, 12927]",butter (reduced fat)
363,363,"[1139, 3100, 19557]",pineapple and orange juice
364,364,"[19653, 19336, 15242, 16145, 1140, 11382, 12061]",alcoholic beverage
365,365,"[9548, 1141, 8878, 17228]",fruit salad (canned)
366,366,"[6184, 7111, 1143]",kapok plant
